source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Biodiesel (100%),False,True,False,0.002027150663118,L,35.675682589903,2.49682743894245,87.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Ethanol (100%),False,True,False,0.001330317622671,L,23.412166699624,1.51871456372971,45.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Rendered Animal Fat,False,True,False,0.001979639319451,L,34.839533779202,2.34650825755078,50.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Vegetable Oil,False,True,False,0.001900453746673,L,33.445952428034,2.58518770710858,75.0
GHG Protocol,ar6,2024,Scope 1,Fugitive Emissions,R-407C,False,False,True,1908.0,kg,,,250.0
GHG Protocol,ar6,2024,Scope 1,Fugitive Emissions,R-404A,False,False,True,4728.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Nitrogen trifluoride,False,False,True,17200.0,kg,,,25.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-245ca,False,False,True,693.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-245fa,False,False,True,1030.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-32,False,False,True,675.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-365mfc,False,False,True,794.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-41,False,False,True,92.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFC-43-I0mee,False,False,True,1640.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-125,False,False,True,14900.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-134,False,False,True,6320.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-143a,False,False,True,756.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-236ca12 (HG-10),False,False,True,2800.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-245cb2,False,False,True,708.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-245fa2,False,False,True,659.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-254cb2,False,False,True,359.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-338pcc13 (HG-01),False,False,True,1500.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-347mcc3,False,False,True,575.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-449sl (HFE-7100),False,False,True,297.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-347pcf2,False,False,True,580.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-356pcc3,False,False,True,110.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-43-10pccc124 (H-Galden1040x),False,False,True,1870.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,HFE-569sf2 (HFE-7200),False,False,True,59.0,kg,,,250.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Methane,False,False,True,25.0,kg,,,25.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Methyl bromide,False,False,True,5.0,kg,,,25.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Methyl chloride,False,False,True,13.0,kg,,,120.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Methyl chloroform,False,False,True,146.0,kg,,,25.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Methylene chloride,False,False,True,9.0,kg,,,120.0
DEFRA/BEIS,ar4,2022,Scope 1,Fugitive Emissions,Nitrous oxide,False,False,True,298.0,kg,,,25.0
